,count_of_size,Color1,Color2,Color3,Color4,Color5,Product_code
86,5,"Black, Velvet Cove","Black, Velvet Cove",,,, BL0159-010
87,6,,,,,, BL8043-535
88,5,"Black, White","Dark Grey, Electric Turquoise","Black, White","Ancient Fossil, Wild Geranium",, BL0659-010
89,5,"Kettle, Black","Monument, Wild Fuchsia","Kettle, Black","Dark Sapphire, Key West",, BL5953-005
90,6,"Light Cloud, Sea Wave","Steam, Peach",,,, BL7444-020
91,5,"Canvas Tan, Blue Dusk","Shale Mauve, Peatmoss",,,, BL4497-247
92,5,"Ancient Fossil, Wild Geranium","Dark Grey, Electric Turquoise","Black, White","Ancient Fossil, Wild Geranium",, BL0659-271
93,6,"Steam, Peach","Steam, Peach",,,, BL7444-086
94,6,"Shale Mauve, Dark Grey","Shale Mauve, Dark Grey",,,, BL6940-553
95,8,"Dark Grey, Electric Turquoise","Dark Grey, Electric Turquoise","Black, White","Ancient Fossil, Wild Geranium",, BL0659-089
96,5,"Dark Sapphire, Key West","Monument, Wild Fuchsia","Kettle, Black","Dark Sapphire, Key West",, BL5953-471
97,5,"Monument, Wild Fuchsia","Monument, Wild Fuchsia","Kettle, Black","Dark Sapphire, Key West",, BL5953-036
98,8,"Steam, Frosted Purple","Shale Mauve, Graphite",,,, BL7615-088
99,7,,,,,, BL5786-656
100,5,,,,,, BL0166-100
101,5,Black,"Marionberry, Snowcap",,,, BL0829-010
102,5,,,,,, BL7516-553
103,5,"Shale Mauve, Peatmoss","Shale Mauve, Peatmoss",,,, BL4497-553
104,6,"Marionberry, Deep Water","Graphite, Dusty Green","Marionberry, Deep Water",,, BL0155-616
105,7,"Black, White","Monument, Wild Fuchsia","Kettle, Black","Dark Sapphire, Key West",, BL5953-012
106,6,"Kettle, Light Sand","Shale Mauve, Dark Grey",,,, BL6940-005
107,11,"Black, Deep Wave","Graphite, Dusty Green","Marionberry, Deep Water",,, BL0155-012
108,6,"Kettle, Dark Grey","Ancient Fossil, Light Lichen",,,, BL5372-006
109,7,"Black, White","Dark Grey, Electric Turquoise","Black, White","Ancient Fossil, Wild Geranium",, BL0659-012
110,7,Pebble,Ti Grey,,,, BL0834-227
111,8,"Black, Bright Marigold","Graphite, Dolphin","Light Sand, Sea Wave",,, BL0156-010
112,8,"Ti Grey Steel, Sage Leaf","Ti Grey Steel, Sage Leaf",,,, YL8651-033
113,9,"Black, Salmon Rose","Ti Grey Steel, Sage Leaf",,,, YL8651-010
114,6,,,,,, BL0933-472
115,6,Ti Grey,Ti Grey,,,, BL0834-033
116,7,"Graphite, Bright Plum","Graphite, Daredevil",,,, BL5371-055
117,6,,,,,, BL8916-466
118,6,"Mosstone, Blue Dusk","Black, Ti Grey Steel","Mosstone, Blue Dusk",,, BL7573-302
119,7,"Graphite, Daredevil","Graphite, Daredevil",,,, BL5371-053
120,7,,,,,, BL4980-099
121,7,"Graphite, Dusty Green","Graphite, Dusty Green","Marionberry, Deep Water",,, BL0155-053
122,5,"Black, Ti Grey Steel","Black, Ti Grey Steel","Mosstone, Blue Dusk",,, BL7573-010
123,6,"Ancient Fossil, Light Lichen","Ancient Fossil, Light Lichen",,,, BL5372-275
124,7,"Shale Mauve, Graphite","Shale Mauve, Graphite",,,, BL7615-553
125,6,"Kettle, Peach Blossom","Black, Sahara",,,, YL5934-005
126,6,Black,,,,, BL1661-010
127,6,"Black, Sahara","Black, Sahara",,,, YL5934-010
128,5,"Dark Stone, Sea Salt",,,,, BL5106-279
129,6,Black,,,,, BL5961-010
