,count_of_size,Color1,Color2,Color3,Color4,Color5,Product_code
189,12.0, Ash Gray-PUMA White-Yellow Burst-Vivid Violet, Ash Gray,,,, 377540_05
190,15.0, PUMA White-PUMA White,,,,, 392085_01
191,15.0, PUMA White-Pristine,,,,, 392086_01
192,12.0, Vibrant Red, Dusty Tan,,,, 378437_01
193,12.0, PUMA White-PUMA White-PUMA Gold, PUMA White,,,, 393802_09
194,11.0, Icy Blue-Ultra Blue, Ash Gray,,,, 377540_04
195,12.0, Puma White,,,,, 396172_01
196,12.0, PUMA White-PUMA Black, PUMA Black, PUMA White, PUMA Black,, 392730_04
197,12.0, PUMA Black, Chocolate,,,, 394786_01
198,12.0, Puma White-Puma Black-Gray Violet,,,,, 383112_04
199,12.0, PUMA Black-PUMA White, PUMA Black, PUMA White, PUMA Black,, 392730_08
200,12.0, PUMA Black, PUMA Black, PUMA White, PUMA Black,, 392730_02
201,12.0, Fresh Mint-Fast Pink, Cobalt Glaze,,,, 397643_02
202,5.0, PUMA Black, Frosted Ivory,,,, 389454_04
203,12.0, PUMA Black-PUMA Silver, PUMA Black, Fire Orchid,,, 378456_01
204,12.0, Fire Orchid-PUMA Black-PUMA Silver, Fire Orchid,,,, 377758_09
205,12.0, Eucalyptus-Alpine Snow-PUMA Black, Cool Dark Gray, Eucalyptus, Alpine Snow, Active Red, 377746_04
206,20.0, Light Aqua-PUMA White,,,,, 378318_02
207,12.0, Dark Jasper-Warm White,,,,, 371008_27
208,12.0, Fire Orchid-Ultra Blue,,,,, 376262_21
209,12.0, PUMA Black-Feather Gray-Gum, PUMA Black,,,, 397647_03
210,12.0, Icy Blue-PUMA Silver-Regal Blue, Fire Orchid,,,, 377316_07
211,12.0, PUMA White-Warm White-Dark Jasper, PUMA White,,,, 389853_06
212,12.0, PUMA Black, PUMA Black,,,, 393065_02
213,21.0, PUMA Navy,,,,, 379886_01
214,19.0, Cayenne Pepper-Astro Red,,,,, 393301_02
215,12.0, Fire Orchid-PUMA Black-Icy Blue, Fire Orchid, Poison Pink,,, 376855_22
216,18.0, PUMA Black-PUMA White, PUMA Black, Warm White,,, 390932_02
217,13.0, Alpine Snow-Asphalt-Yellow Blaze, Alpine Snow,,,, 107565_03
218,11.0, PUMA Black-PUMA White, Fire Orchid,,,, 377758_01
219,13.0, Ultra Blue-PUMA White-Pro Green, Ultra Blue,,,, 107507_03
