,Unnamed: 0,reviews,Size,comfort,quality,star_rating
275,275,11.0,"5,6,7,8,9",8.0,8.0,4.0
276,276,13.0,"6,7,8,9,10",12.0,11.0,4.6
277,277,67.0,"6,7,8,9,10",56.0,51.0,4.5
278,278,1.0,"5,6,7,8,9",1.0,1.0,5.0
279,279,558.0,"6,7,8,10",477.0,386.0,4.6
280,280,10.0,"6,7,8,9,10",7.0,7.0,3.8
281,281,12.0,"6,7,8,9,10",11.0,10.0,4.8
282,282,558.0,"6,7,8,9,10",477.0,386.0,4.6
283,283,13.0,"6,7,8,9,10",12.0,11.0,4.6
284,284,45.0,"5,6,7,8,9,10",43.0,31.0,4.8
285,285,34.0,"6,7,8,9,10",27.0,25.0,4.4
286,286,72.0,"6,7",66.0,57.0,4.6
287,287,58.0,6,48.0,46.0,4.6
288,288,283.0,"5,6,9",254.0,212.0,4.7
289,289,74.0,"6,7,8,10",61.0,57.0,4.6
290,290,3.0,"6,7,8,9,10",3.0,3.0,5.0
291,291,32.0,"6,7,8,9,10",29.0,29.0,4.8
292,292,1.0,"6,7,8,9,10",,,3.0
293,293,74.0,"6,7,8,10",61.0,57.0,4.6
294,294,1611.0,"6,7",1142.0,1094.0,4.3
295,295,16.0,"6,7,8,9,10",10.0,8.0,3.8
296,296,2.0,"6,7,8,10",2.0,2.0,5.0
297,297,67.0,"6,7,8,9,10",56.0,51.0,4.5
298,298,2.0,"6,7,8,9,10",2.0,2.0,5.0
299,299,93.0,"6,8,9,10",73.0,65.0,4.4
