,count_of_size,Color1,Color2,Color3,Color4,Color5,Product_code
115,16,Arctic Night F23 , Arctic Night F23 , Better Scarlet , Core Black , Cloud White , IG8337
116,24,Grey Four , Solar Red , Wonder Red , Solar Red , Carbon , ID0273
117,14,Metal Grey , Grey Four , Core Black , Grey Three , Core Black , ID9442
118,14,Core Black , Cloud White , Core Black , Core Black , Cloud White , GZ9261
119,14,Wonder Taupe , Wonder Steel F22 , Wonder Steel F22 , Core Black , Wonder Taupe , ID9600
120,18,Wonder Blue , Wonder Blue , Cream White , Orbit Grey , Better Scarlet S23 , IF5603
121,18,Carbon , Wonder Beige , Cloud White , Core Black , Grey Three , GY6256
122,18,Cloud White , Cloud White , Core Black ,,, FV7227
123,17,Core Black , Wonder Beige , Cloud White , Core Black , Grey Three , IF3220
124,16,Cloud White , Core Black , Cloud White , Core Black , Cloud White , ID9241
125,18,Wonder Silver , Wonder Silver ,,,, IG5822
126,22,Grey Three , Core Black , Core Black , Core Black , Shadow Navy , IG3126
127,16,Cloud White , Bright Blue , Cloud White , Cloud White , Cloud White , ID9222
128,16,Core Black , Core Black , Wonder Beige F23 , Core Black , Wonder Silver F23 , HQ4244
129,18,Cloud White , Core Black , Cloud White , Core Black , Cloud White , IE9224
130,18,Cloud White , Vivid Red , Grey Five , Cloud White , Core Black , GW4622
131,24,Cloud White , Cloud White , Core Black , Off White , Cloud White , IE9620
132,22,Core Black , Vivid Red , Grey Five , Cloud White , Core Black , HQ8326
133,20,Cream White , Wonder Blue , Cream White , Orbit Grey , Better Scarlet S23 , ID9629
134,9,Vivid Red S21 , Grey Four , Core Black , Grey Three , Core Black , ID1727
135,16,Vivid Red S21 , Grey Four ,,,, IE5425
136,21,Unity Orange , Shock Slime , Unity Orange ,,, HQ1423
137,16,Wonder Beige , Core Black , Cloud White , Core Black , Cloud White , IG2322
138,16,Core Black , Cloud White , Core Black , Off White , Cloud White , ID9625
139,20,Cloud White , Cloud White , Core Black , Off White , Cloud White , IE8221
140,18,Bright Royal , Bright Royal , Core Black , Cloud White ,, IF5228
141,18,Grey One , Core Black , Core Black , Core Black , Shadow Navy , IG8327
142,25,Silver Green , Vivid Red , Grey Five , Cloud White , Core Black , ID0223
143,17,Silver Green , Vivid Red ,,,, ID9422
144,25,Cloud White , Cloud White , Core Black , Cloud White , Grey Three , GZ9221
145,25,Core Black , Cloud White ,,,, ID9620
146,25,Grey One , Cloud White , Core Black , Core Black , Linen Green , HR0026
147,19,Wonder Steel F22 , Core Black , Linen Green F22 , Wonder Steel F22 , Core Black , IF5623
148,18,Pulse Mint , Arctic Night F23 , Better Scarlet , Core Black , Cloud White , IF8129
149,16,Core Black , Core Black , Core Black , Core Black , Cloud White , ID9626
150,14,Clay Strata S23 , Clay Strata S23 , Core Black , Shadow Violet ,, ID9677
151,14,Cloud White , Silver Dawn , Core Black , Grey One , Core Black , IF5258
152,21,Core Black , Cloud White , Core Black , Off White , Cloud White , ID1747
153,14,Cloud White , Clay Strata , Cloud White , Earth Strata S23 , Core Black , HP3130
154,14,Cloud White , Clay Strata ,,,, IF2921
155,14,Core Black , Core Black , Core Black , Core Black , Shadow Navy , IF4921
156,17,Carbon , Silver Dawn , Core Black , Grey One , Core Black , ID9436
157,17,Core Black , Silver Dawn , Core Black , Grey One , Core Black , IG2372
158,14,Core Black , Silver Dawn , Core Black , Grey One , Core Black , GZ9261
159,14,Earth Strata S23 , Clay Strata , Cloud White , Earth Strata S23 , Core Black , IF3501
160,14,Earth Strata S23 , Clay Strata ,,,, ID1746
161,14,Off White , Silver Dawn , Core Black , Grey One , Core Black , IF3457
162,14,Pink Strata S23 , Solar Red , Wonder Red , Solar Red , Carbon , ID9674
163,14,Wonder Quartz , Core Black , Cloud White , Core Black , Mineral Green , IF3465
164,14,Core Black , Core Black , Purple Glow ,,, ID9666
165,14,Core Black , Grey Five , Core Black , Chalk White , Cloud White , HP3147
166,14,Core Black , Grey Five ,,,, HP2759
167,14,Cloud White , Grey Four , Core Black , Grey Three , Core Black , IF5603
168,19,Wonder Silver , Wonder Red F22 , Wonder Steel F22 , Core Black , Wonder Taupe , GY7356
169,14,Grey Five , Carbon , Wonder Quartz , Silver Dawn , Shadow Violet F23 , HP3132
170,14,Cloud White , Grey Two , Core Black , Utility Green , Core Black , IG5461
171,14,Core Black , Core Black , Semi Flash Aqua ,,, GZ9256
172,14,Light Solid Grey , Silver Dawn , Core Black , Grey One , Core Black , GZ9257
173,14,Aluminium , Oatmeal , Aluminium , Aluminium ,, GZ9260
174,14,Lucid Cyan F23 , Arctic Night F23 , Better Scarlet , Core Black , Cloud White , ID9438
175,14,Core Black , Chalk White , Core Black ,,, IG5876
176,13,Core Black , Chalk White ,,,, IF5282
177,14,Shadow Red , Silver Dawn , Core Black , Grey One , Core Black , GW9089
178,14,Olive Strata , Core Black , Core Black , Core Black , Shadow Navy , IG5877
179,14,Royal Blue , Core Black , Non Dyed , Core Black , Core Black , HQ8397
180,14,Core Black , Core Black , Grey Three , Core Black , Feather Grey , GZ4307
181,14,Core Black , Core Black , Grey Three , Core Black , Feather Grey , GW9088
182,14,Shadow Violet F23 , Carbon , Wonder Quartz , Silver Dawn , Shadow Violet F23 , GZ9258
183,14,Cloud White , Grey Four , Core Black , Grey Three , Core Black , HQ4437
184,14,Cloud White , Core Black , Cloud White , Core Black , Mineral Green , HP7820
185,14,Core Black , Core Black , Non Dyed , Core Black , Core Black , GZ9259
186,14,Cloud White , Pink Strata , Cloud White , Mgh Solid Grey ,, ID9559
187,17,Cloud White , Cloud White , Core Black , Off White , Cloud White , HP5972
188,14,Core Black , Cloud White , Cloud White , Core Black ,, HP5971
189,14,Core Black , Core Black , Non Dyed , Core Black , Core Black , GW9086
190,14,Halo Blush , Core Black , Cloud White , Core Black , Mineral Green , HP5974
191,14,Wonder White , Core Black , Cloud White , Core Black , Mineral Green , IE9257
192,14,Wonder Quartz S23 , Core Black , Non Dyed , Core Black , Core Black , IG5893
193,14,Core Black , Arctic Night F23 , Better Scarlet , Core Black , Cloud White , IF5273
194,14,Non Dyed , Core Black , Non Dyed , Core Black , Core Black , IG4767
195,21,Cloud White , Core Black , Non Dyed , Core Black , Core Black , IF5602
196,14,Core Black , Cloud White , Core Black , Off White , Cloud White , ID0360
197,14,Aluminium , Oatmeal , Aluminium , Aluminium ,, HP5970
198,14,Core Black , Solar Red , Wonder Red , Solar Red , Carbon , IE7652
199,14,Core Black , Core Black , Wonder Steel F22 , Trace Grey , Core Black , IG5782
