,reviews,Size,comfort,quality,star_rating
115,,"35,,36,37,38,39,40,41",,,
116,,"35,,36,37,38,39,40,41",,,
117,,"35,,36,37,38,39,40,41",,,
118,,"35,,36,37,38,39,40,41",,,
119,,"35,,36,37,38,39,40,41",,,
120,,"35,,36,37,38,39,40,41",,,
121,,"35,,36,37,38,39,40,41",,,
122,,"35,,36,37,38,39,40,41",,,
123,,"35,,36,37,38,39,40,41",,,
124,,"35,,36,37,38,39,40,41",,,
125,,"35,,36,37,38,39,40,41",,,
126,,"35,,36,37,38,39,40,41",,,
127,,"35,,36,37,38,39,40,41",,,
128,,"35,,36,37,38,39,40,41",,,
129,,"35,,36,37,38,39,40,41",,,
130,,"35,,36,37,38,39,40,41",,,
131,,"35,,36,37,38,39,40,41",,,
132,,"35,,36,37,38,39,40,41",,,
133,,"35,,36,37,38,39,40,41",,,
134,,"35,,36,3 ,37,38,39,40,41,",,,
135,,"35,,36,3 ,37,4 ,38,39,40,41",,,
136,,"35,,36,,37,,38,39,40,41",,,
137,,"35,,36,37,38,39,40,41",,,
138,,"35,,36,37,38,39,40,41",,,
139,,"35,,36,37,38,39,40,41",,,
140,,"35,,36,37,38,39,40,41",,,
141,,"35,,36,37,38,39,40,41",,,
142,,"35,,36,37,38,39,40,41,1 ",,,
143,,"35,,36,37,38,39,40,41",,,
144,,"35,,36,37,3 ,38,39,40,41",,,
145,,"35,,36,37,38,39,40,41",,,
146,,"35,,36,37,38,39,40,41",,,
147,,"35,,36,37,38,39,40,41",,,
148,,"35,,36,37,38,39,40,,41,",,,
149,,"35,,36,37,38,39,40,41",,,
150,,"35,,36,37,38,39,40,41",,,
151,,"35,,36,37,38,39,40,41",,,
152,,"35,,36,1 ,37,38,39,40,41,",,,
153,,"35,,36,,37,38,39,40,41",,,
154,,"35,,36,4 ,37,38,39,40,41",,,
155,,"35,,36,3 ,37,38,39,40,41,4 ",,,
156,,"35,,36,,37,,38,,39,,40,,41,",,,
157,,"35,,36,37,38,39,40,3 ,41,",,,
158,,"35,,36,37,2 ,38,39,,40,,41,",,,
159,,"35,,36,,37,,38,,39,,40,,41,",,,
160,,"35,,36,4 ,37,38,39,40,41,3 ",,,
161,,"35,,36,,37,38,39,40,41",,,
162,,"35,,36,1 ,37,38,39,40,41,",,,
163,,"35,,36,37,38,39,40,41",,,
164,,"35,,36,37,38,4 ,39,40,41,4 ",,,
165,,"35,,36,,37,3 ,38,39,40,41,",,,
166,,"35,,36,,37,38,39,40,41,",,,
167,,"35,,36,,37,,38,,39,3 ,40,41,",,,
168,,"35,,36,37,38,39,3 ,40,41",,,
169,,"35,,36,,37,,38,1 ,39,,40,1 ,41,",,,
170,,"35,,36,,37,4 ,38,,39,40,41",,,
171,,"35,,36,,37,,38,1 ,39,,40,,41,",,,
172,,"35,,36,,37,,38,,39,,40,1 ,41,",,,
173,,"35,,36,,37,,38,4 ,39,,40,41,",,,
174,,"35,,36,,37,,38,,39,,40,,41,",,,
175,,"35,,36,2 ,37,3 ,38,39,3 ,40,3 ,41",,,
176,,"35,,36,1 ,37,,38,,39,,40,,41,",,,
177,,"35,,36,,37,,38,,39,,40,,41,",,,
178,,"35,,36,,37,,38,39,1 ,40,3 ,41,",,,
179,,"35,,36,,37,,38,,39,1 ,40,41,3 ",,,
180,,"35,,36,,37,,38,,39,,40,2 ,41,",,,
181,,"35,,36,,37,,38,,39,,40,2 ,41,2 ",,,
182,,"35,,36,,37,,38,,39,,40,4 ,41,",,,
183,,"35,,36,,37,,38,,39,,40,2 ,41,",,,
184,,"35,,36,,37,,38,,39,,40,,41,3 ",,,
185,,"35,,36,,37,,38,,39,,40,,41,",,,
186,,"35,,36,,37,,38,1 ,39,2 ,40,,41,",,,
187,,"35,,36,,37,,38,,39,2 ,40,,41,",,,
