,count_of_size,Color1,Color2,Color3,Color4,Color5,Product_code
0,3,LIME/BLUE,GRAY,,,,246078-LMBL
1,2,BLACK,NAVY,,,,246079-BKW
2,0,LIME/BLUE,GRAY,,,,246078-GRY
3,2,BLACK,NAVY,,,,246079-NVCL
4,5,BBBBLACK,NNNAVY,BBLACK,,,232455-NVY
5,6,BLACK/RED,NAVY/ORANGE,CHARCOAL/LIME,OOLIVE,,232451-NVOR
6,5,BLACK/WHITE,BLUE/LIME,BLUE/YELLOW,CHARCOAL/BLUE,RED/YELLOW,246053-RDYL
7,4,GREEN,,,,,246062-GROR
8,0,NNNAVY,GREY,,,,204804-GRY
9,6,CHARCOAL/LIME,NAVY/YELLOW,BBLACK,TEAL,,246034-TEAL
10,3,GRAY/ORANGE,NAVY/BLUE,,,,246082-NVBL
11,2,BLACK/WHITE,WHITE/BLUE/RED,,,,210745-WBLR
12,0,BLACK/WHITE,WHITE/BLUE/RED,,,,210745-BKW
13,1,BBLACK,OFF WHITE,,,,183010-BBK
14,0,BBLACK,NNNAVY,,,,232458-BBK
15,2,BLACK/RED,NAVY/ORANGE,CHARCOAL/LIME,OOLIVE,,232451-OLV
16,3,BBLACK,NNNAVY,,,,232458-NVY
17,2,BLACK/GREY,NAVY/BLUE,,,,232629-BKGY
18,3,BLACK/GREY,NAVY/BLUE,,,,232629-NVBL
19,0,NNNAVY,GREY,,,,204804-NVY
20,3,GRAY/ORANGE,NAVY/BLUE,,,,246082-GYOR
21,1,BBBBLACK,YELLOW,,,,183070-YEL
22,3,NAVY/GREY,OOLIVE,,,,232626-NVGY
23,3,NAVY/GREY,OOLIVE,,,,232626-OLV
24,3,BROWN,OOLIVE,,,,183186-BRCK
25,2,BBBBLACK,NNNAVY,CHARCOAL/RED,BLACK/CHARCOAL,,237300-CCRD
26,1,BBBBLACK,NNNAVY,CHARCOAL/RED,BLACK/CHARCOAL,,237300-BKCC
27,0,NNNAVY,BLACK/WHITE,,,,220389-BKW
28,1,NNNAVY,BLACK/WHITE,,,,220389-NVY
29,4,TTAUPE,BBLACK,NAVY/ORANGE,,,220359-BBK
30,1,BBBBLACK,NNNAVY,BBLACK,,,216278-BLK
31,3,BBBBLACK,NNNAVY,BBLACK,,,216278-NVY
32,3,BROWN,GGREY/BLACK,,,,220185-GYBK
33,1,BROWN,GGREY/BLACK,,,,220185-BRN
34,0,DARK GREY,NNNAVY,BBLACK,,,216491-DKGY
35,0,BLACK/LIME,NAVY/ORANGE,,,,220336-NVOR
36,5,NNNAVY,BLACK/WHITE,,,,229142-BKW
37,3,DARK GREY,NNNAVY,BBLACK,,,216491-NVY
38,4,BLACK/LIME,NAVY/ORANGE,,,,220336-BKLM
39,3,BBURGUNDY,NNNAVY,,,,232450-NVY
40,7,BLACK/WHITE,BLUE/LIME,BLUE/YELLOW,CHARCOAL/BLUE,RED/YELLOW,246053-CCBL
41,5,BBLACK,CCHARCOAL,,,,216259-CHAR
42,3,NNNAVY,BLACK/WHITE,,,,229142-NVY
43,1,BBLACK,NNNAVY,,,,232456-NVY
44,3,BLACK/WHITE,BLUE/LIME,BLUE/YELLOW,CHARCOAL/BLUE,RED/YELLOW,246053-BLYL
45,2,NNNAVY,BBLACK,,,,220338-BBK
46,4,BLACK/WHITE,BLUE/LIME,BLUE/YELLOW,CHARCOAL/BLUE,RED/YELLOW,246053-BKW
47,0,GREY,NAVY/ORANGE,,,,216562-NVOR
48,3,TTAUPE,NNNAVY,BBLACK,CCHARCOAL,,216126-CHAR
49,6,BBLACK,WWWHITE,OOLIVE,,,246021-BBK
50,2,NNNAVY,BLACK/WHITE,BBLACK,BBURGUNDY,,232504-BKW
51,2,NNNAVY,TTAUPE,BBBBLACK,,,216267-TPE
52,4,BLACK/WHITE,NAVY/ORANGE,,,,216527-BKW
53,3,NAVY/ORANGE,TTAUPE,BBLACK,GREY/RED,,216205-GYRD
54,3,CCHARCOAL,NNNAVY,BLACK/WHITE,TTAUPE,,216401-NVY
55,0,NNNAVY,TAUPE/BROWN,,,,210058-NVY
56,4,CHARCOAL/ORANGE,NAVY/GOLD,BBLACK,LIGHT GREY/RED,,216116-BBK
57,4,BLACK/WHITE,NAVY/ORANGE,,,,216527-NVOR
58,1,CHARCOAL/BLACK,BLACK/WHITE,NAVY/GREY,NATURAL/GREY,BBLACK,232318-BBK
59,7,BBLACK,GREY,BLACK/LIME,,,220223-BBK
60,2,NAVY/BLACK,BBLACK,,,,232591-BBK
61,3,BLACK/MULTI,NATURAL/MULTI,BBLACK/MULTI,,,232219-BMLT
62,1,BLACK/BLUE,LIME,YELLOW,,,246075-BKBL
63,3,NAVY/MULTI,WHITE/MULTI,,,,220825-WMLT
64,0,BBBBLACK,DARK BROWN,,,,204350-BLK
