,Unnamed: 0,reviews,Size,comfort,quality,star_rating
117,117,0,"4,  5,1 ,6,  7,  8, ",,,0
118,118,22,"4,  5,4 ,6,  7,  8, ",,,5
119,119,0,"4,  5,1 ,6,1 ,7,  8, ",,,0
120,120,0,"4,1 ,5,  6,2 ,7,  8, ",,,0
121,121,38,"4,2 ,5,4 ,6,  7,  8, ",,,4
122,122,22,"4,  5,  6,  7,  8, ",,,5
123,123,0,"4,  5,  6,  7,2 ,8, ",,,0
124,124,15,"4,1 ,5,  6,4 ,7,  8, ",,,5
125,125,0,"4,  5,1 ,6,  7,  8, ",,,0
126,126,0,"4,1 ,5,  6,  7,  8, ",,,0
127,127,0,"4,  5,1 ,6,  7,  8, ",,,0
128,128,0,"4,  5,  6,  7,  8, ",,,0
129,129,0,"4,  5,1 ,6,  7,  8, ",,,0
