,Unnamed: 0,reviews,Size,comfort,quality,star_rating
56,56,0,",4,5,6,7,8,9,10,11,12,13",92.30,92.30,0.0
57,57,4,",4,5,6,7,8,9,10,11,12,13,14,15,16,17,18",92.30,92.30,5.0
58,58,2,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13",92.30,92.30,5.0
59,59,0,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13",92.30,92.30,0.0
60,60,17,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",76.90,76.90,4.1
61,61,7,",4,4.5,5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",76.90,76.90,3.3
62,62,5,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13",75.00,75.00,4.6
63,63,0,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",75.00,75.00,0.0
64,64,0,",6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",75.00,75.00,0.0
65,65,31,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",75.00,75.00,4.3
66,66,2,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13",75.00,75.00,4.5
67,67,2,",4,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",75.00,75.00,5.0
68,68,9,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",75.00,75.00,3.9
69,69,1,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13",75.00,75.00,5.0
70,70,46,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",75.00,75.00,4.3
71,71,4,",4,5,6,7,8,9,10,11,12,13,14,15",100.00,100.00,5.0
72,72,1,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12",100.00,100.00,5.0
73,73,0,",5.5,6,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12",100.00,100.00,0.0
74,74,9,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",75.00,75.00,3.9
75,75,0,",6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",75.00,75.00,0.0
76,76,2,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",75.00,75.00,4.5
77,77,4,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",75.00,75.00,4.0
78,78,5,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12",75.00,75.00,3.6
79,79,0,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",75.00,75.00,0.0
80,80,0,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",75.00,75.00,0.0
81,81,2,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",75.00,75.00,3.5
82,82,17,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",76.90,76.90,4.1
83,83,2,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",76.90,76.90,3.0
84,84,46,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12",81.80,81.80,4.3
85,85,1,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,14",81.80,81.80,5.0
86,86,1,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13",100.00,100.00,5.0
87,87,0,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",100.00,100.00,0.0
88,88,0,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",100.00,100.00,0.0
89,89,0,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13",100.00,100.00,0.0
90,90,0,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",100.00,100.00,0.0
91,91,0,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",100.00,100.00,0.0
92,92,17,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14,15,16,17,18",76.90,76.90,4.1
93,93,0,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",76.90,76.90,0.0
94,94,7,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,14",76.90,76.90,3.1
95,95,0,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",76.90,76.90,0.0
96,96,2,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",100.00,100.00,4.5
97,97,1,",6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12",100.00,100.00,5.0
98,98,2,",4,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",50.00,50.00,5.0
99,99,31,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",50.00,50.00,4.3
100,100,4,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12",50.00,50.00,5.0
101,101,1,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",50.00,50.00,5.0
102,102,17,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14,15,16,17,18",76.90,76.90,4.1
103,103,2,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",76.90,76.90,3.0
104,104,1,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,14",100.00,100.00,5.0
105,105,1,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",100.00,100.00,5.0
106,106,4,",4,4.5,5,5.5,6,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13",66.70,66.70,4.0
107,107,2,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",100.00,100.00,3.5
108,108,0,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",100.00,100.00,0.0
109,109,1,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",100.00,100.00,4.0
110,110,0,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",100.00,100.00,0.0
111,111,0,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",100.00,100.00,0.0
112,112,0,",4,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",100.00,100.00,0.0
113,113,0,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14,15,16",100.00,100.00,0.0
114,114,1,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14,15,16",100.00,100.00,2.0
115,115,0,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",100.00,100.00,0.0
116,116,0,",7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",100.00,100.00,0.0
117,117,1,",4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,13,14",100.00,100.00,5.0
