,Unnamed: 0,ShoeName,Category,no_of_colors,Price
59,59,"KING ULTIMATE ART OF FOOTBALL FG/AG Men's Soccer Cleats
PUMA Black-Alpine Snow-PUMA Gold-PUMA White",Men,1 ,220.00
60,60,"Fuse 2.0 Men's Training Shoes
Puma Black-CASTLEROCK",Men,9 ,100.00
61,61,"CA Pro Mid Sneakers
Puma White-Puma Team Gold",Men,4 ,90.00
62,62,"Plexus Sneakers
Pristine-Elektro Purple",Men,1 ,140.00
63,63,"SCUDERIA FERRARI x JOSHUA VIDES Suede Men's Sneakers
PUMA White-PUMA Black",Men,1 ,100.00
64,64,"PUMA x TMC Ralph Sampson All Star Men's Sneakers
PUMA White-PUMA Navy-PUMA Silver",Men,1 ,90.00
65,65,"ForeverRUN NITRO™ Men's Running Shoes
Ultra Blue-PUMA Black-PUMA Silver",Men,5 ,150.00
66,66,"RS-X Halves Sneakers
CASTLEROCK-Puma Black-High Risk Red",Men,1 ,110.00
67,67,"CA Pro Lux Soft Sneakers
Alpine Snow-Warm White",Men,2 ,80.00
68,68,"Palermo Leather Men's Sneakers
PUMA White-Vapor Gray-Gum",Men,2 ,90.00
69,69,"ForeverRun NITRO™ Men's Running Shoes
PUMA White-PUMA Silver-Cherry Tomato",Men,2 ,150.00
70,70,"Clyde Core Foil Men's Sneakers
Puma White-Puma New Navy-Puma Team Gold",Men,2 ,80.00
71,71,"Leadcat 2.0 Slides
Puma White-Puma Black",Men,3 ,30.00
72,72,"BMW M Motorsport Men's Speedcat Sneakers
PUMA Black-PUMA White",Men,1 ,100.00
73,73,"BMW M Motorsport RS-X Sneakers
PUMA White",Men,1 ,120.00
74,74,"Palermo Leather Men's Sneakers
PUMA Black-Feather Gray-Gum",Men,2 ,90.00
75,75,"PUMA x LAMELO BALL LaFrancé CA Pro Men's Sneakers
For All Time Red-Dark Orange-PUMA Black",Men,1 ,90.00
76,76,"CA Pro OW Sneakers
Granola-PUMA Black-Puma Team Gold",Men,2 ,100.00
77,77,"Scuderia Ferrari Speedcat Driving Shoes
PUMA Black-PUMA White",Men,2 ,90.00
78,78,"SEASONS Explore NITRO™ Mid Men's Hiking Shoes
Eucalyptus-PUMA Black-Neon Sun",Men,1 ,130.00
79,79,"SCUDERIA FERRARI x JOSHUA VIDES RS-X Men's Sneakers
Rosso Corsa-Frosted Ivory",Men,1 ,120.00
80,80,"CA Pro Suede Nubuck Sneakers
Sedate Gray-PUMA White",Men,1 ,100.00
81,81,"PUMA-180 Sneakers 
Sugared Almond-Prairie Tan",Men,3 ,100.00
82,82,"Fuse 2.0 Men's Training Shoes
Puma Black-Harbor Mist-Cherry Tomato",Men,9 ,100.00
83,83,"ForeverRun NITRO™ Knit Men's Running Shoes
Concrete Gray-Flat Dark Gray",Men,2 ,150.00
84,84,"Clyde Core Foil Men's Sneakers
Puma White-Puma Black-Puma Team Gold",Men,2 ,80.00
85,85,"PUMA x LAMELO BALL LaFrancé Men's Slipstream Sneakers
Granola-Sand Dune-PUMA Black-Spring Fern",Men,1 ,100.00
86,86,"ForeverRun NITRO™ Men's Running Shoes
Cherry Tomato-PUMA Black",Men,2 ,150.00
87,87,"Future Rider Play On Men's Sneakers
Pink Delight-PUMA Green",Men,2 ,80.00
88,88,"Clyde Vintage Sneakers
PUMA White-PUMA Navy",Men,1 ,110.00
89,89,"Fast-R NITRO™ Elite Men's Running Shoes
For All Time Red-Ultra Blue",Men,2 ,260.00
90,90,"Future Rider Play On Men's Sneakers
Cobalt Glaze-Pelé Yellow",Men,2 ,80.00
91,91,"BMW M Motorsport RS-Trck Mid Boot Garage Crews Men's Sneakers
PUMA Black-Pop Red",Men,1 ,160.00
92,92,"Fuse 2.0 Men's Training Shoes
PUMA Black-Gray Tile-Fast Yellow",Men,9 ,100.00
93,93,"Suede NT Men's Sneakers
Fall Foliage-Alpine Snow-Cool Light Gray",Men,1 ,75.00
94,94,"ULTRA ULTIMATE FG/AG Men's Soccer Cleats
PUMA Black-Asphalt",Men,4 ,220.00
95,95,"BMW M Motorsport CA Pro Sneakers
PUMA White-PUMA White",Men,2 ,90.00
96,96,"CA Pro OW Sneakers
Alpine Snow-Chocolate Chip-Puma Team Gold",Men,2 ,100.00
97,97,"FastRoid Running Shoes
PUMA White-PUMA Silver-Cherry Tomato",Men,1 ,350.00
98,98,"CA Pro Lux Soft Sneakers
Icy Blue-Warm White",Men,2 ,80.00
99,99,"ForeverRUN NITRO™ Men's Running Shoes
PUMA Black",Men,5 ,150.00
100,100,"Mercedes-AMG Suede Men's Sneakers
PUMA Black-Light Mint-PUMA White",Men,2 ,85.00
101,101,"SEASONS Voyage NITRO™ 3 Men's Running Shoes
Inky Blue-PUMA Black-Neon Sun",Men,5 ,140.00
102,102,"Fuse 2.0 Men's Training Shoes
PUMA Black-Cayenne-Wood Violet",Men,9 ,100.00
103,103,"ForeverRun NITRO™ Knit Men's Running Shoes
PUMA Black-Shadow Gray",Men,2 ,150.00
104,104,"SEASONS Voyage NITRO™ 3 Men's Running Shoes
Eucalyptus-Alpine Snow-PUMA Black",Men,5 ,140.00
105,105,"SEASONS Voyage NITRO™ 3 Men's Running Shoes
PUMA Black-Dark Coal",Men,5 ,140.00
106,106,"Scuderia Ferrari Speedcat Driving Shoes
Rosso Corsa-PUMA White",Men,2 ,90.00
107,107,"PUMA-180 Sneakers 
PUMA Black-PUMA Black",Men,3 ,100.00
108,108,"PUMA x PLEASURES Velophasis Layers Sneakers
Cayenne Pepper-Astro Red",Men,1 ,140.00
109,109,"PUMA-180 Pop Men's Sneakers
Glacial Gray-PUMA Black",Men,1 ,100.00
110,110,"RS-X Efekt RE:PLACE Men's Sneakers
Frosted Ivory-Granola",Men,1 ,130.00
111,111,"BMW M Motorsport CA Pro Sneakers
PUMA Black-PUMA White",Men,2 ,90.00
112,112,"Velophasis Technisch Sneakers 
PUMA Black-PUMA White",Men,3 ,120.00
113,113,"PUMA x BLACK FIVES All-Pro NITRO™ Basketball Shoes
PUMA Navy",Men,1 ,140.00
114,114,"All-Pro NITRO™ Team Men's Basketball Shoes
PUMA White-PUMA Navy-Lime Squeeze",Men,2 ,130.00
115,115,"Mercedes-AMG Petronas Motorsport Mirage Sport Asphalt Garage Crews Men's Sneakers
PUMA Black-Spectra Green",Men,1 ,120.00
116,116,"Blktop Rider Neo Vintage Men's Sneakers
Feather Gray-Warm White",Men,1 ,100.00
117,117,"PUMA Morphic Base Men's Sneakers
PUMA White-Sedate Gray",Men,4 ,80.00
118,118,"PUMA x CHILDHOOD DREAMS Velophasis Men's Sneakers
Day Dream-Yellow Sizzle-Dark Night",Men,1 ,130.00
119,119,"PUMA x LAUREN LONDON Suede Sneakers
PUMA White-PUMA White",Men,1 ,90.00
120,120,"PWR NITRO™ Squared Men's Training Shoes
PUMA Black-PUMA White",Men,2 ,120.00
121,121,"Fuse 2.0 Men's Training Shoes
Cherry Tomato-Puma Black",Men,9 ,100.00
122,122,"Fuse 2.0 Men's Training Shoes
Myrtle-PUMA Black-Yellow Burst",Men,9 ,100.00
123,123,"Deviate NITRO™ 2 WTRepel Men's Running Shoes
PUMA Black-Yellow Burst-Malachite",Men,2 ,170.00
124,124,"Leadcat 2.0 Slides
Peacoat-Puma White",Men,3 ,30.00
125,125,"PUMA x RHUIGI Trinomic XT-2 Men's Sneakers
Sand Dune-Concrete Gray-Granola",Men,2 ,140.00
126,126,"Fast-R NITRO™ Elite Men's Running Shoes
PUMA White-Ultra Blue",Men,2 ,260.00
127,127,"PUMA x LAUREN LONDON RS-Trck Sneakers
PUMA White-Pristine",Men,1 ,130.00
128,128,"PUMA x CHILDHOOD DREAMS Suede TC Men's Sneakers
PUMA Black",Men,1 ,90.00
129,129,"PUMA x FIRST MILE Electrify NITRO™ 3 Men's Running Shoes
PUMA Black-Astro Red-Alpine Snow",Men,1 ,110.00
130,130,"PWR NITRO™ Squared Men's Training Shoes
Eucalyptus-PUMA Black",Men,2 ,120.00
131,131,"SCUDERIA FERRARI x JOSHUA VIDES RS Trck Men's Sneakers
Rosso Corsa-Frosted Ivory",Men,1 ,130.00
132,132,"CA Pro Mid Sneakers
PUMA White-Malachite",Men,4 ,90.00
133,133,"All-Pro NITRO™ Men's Basketball Shoes
Bold Blue-Dark Clove-Pro Green-Fire Orchid-Koral Ice",Men,2 ,130.00
134,134,"Velophasis Multi Sneakers
Chocolate Chip-Flaxen",Men,1 ,120.00
135,135,"Clyde Hairy Suede Sneakers
PUMA Black-Frosted Ivory",Men,1 ,110.00
136,136,"PUMA x RHUIGI Trinomic XT-2 Men's Sneakers
Sand Dune-Concrete Gray-Warm White",Men,2 ,140.00
137,137,"BMW M Motorsport RS-X Garage Crews Men's Sneakers
PUMA Black-Pop Red",Men,1 ,120.00
138,138,"Velophasis Overdye Men's Sneakers
PUMA White-Pristine",Men,1 ,140.00
