Category,no_of_colors,Price,count_of_size,Color1,Color2,Color3,Color4,Color5,reviews,comfort,quality,star_rating
0,1.0986122886681098,64.79,3.0,452,205,166,127,78,2.3978952727983707,10.0,10.0,4.4
0,1.0986122886681098,64.79,2.0,314,239,166,127,78,2.772588722239781,10.0,10.0,4.8
0,1.0986122886681098,50.39,0.0,452,205,166,127,78,2.3978952727983707,8.2,8.2,4.4
0,1.0986122886681098,50.39,2.0,314,239,166,127,78,2.772588722239781,8.2,8.2,4.8
0,1.3862943611198906,39.59,5.0,310,252,113,127,78,3.5263605246161616,10.0,10.0,4.4
0,1.6094379124341003,46.19,6.0,328,247,130,131,78,4.418840607796598,10.0,10.0,4.9
0,1.791759469228055,35.99,5.0,329,173,126,113,82,2.70805020110221,10.0,10.0,4.6
0,0.6931471805599453,79.19,4.0,417,254,166,127,78,2.70805020110221,9.2,9.2,0.0
0,1.0986122886681098,50.99,0.0,487,208,166,127,78,5.278114659230517,9.2,9.2,4.7
0,1.6094379124341003,58.79,6.0,367,250,113,134,78,1.9459101490553132,9.2,9.2,2.7
0,1.3862943611198906,41.99,3.0,416,240,166,127,78,0.6931471805599453,9.2,9.2,5.0
0,1.0986122886681098,39.59,2.0,329,298,166,127,78,3.044522437723423,9.2,9.2,5.0
0,1.0986122886681098,53.99,0.0,329,298,166,127,78,3.044522437723423,9.2,9.2,5.0
0,1.0986122886681098,53.99,1.0,311,257,166,127,78,3.044522437723423,9.2,9.2,5.0
0,1.0986122886681098,39.59,0.0,311,252,166,127,78,4.897839799950911,7.7,7.7,4.7
0,1.6094379124341003,16.79,2.0,328,247,130,131,78,4.418840607796598,7.7,7.7,4.9
0,1.3862943611198906,77.99,3.0,311,252,166,127,78,4.897839799950911,7.5,7.5,4.7
0,1.0986122886681098,53.99,2.0,318,240,166,127,78,2.3978952727983707,7.5,7.5,4.8
0,1.0986122886681098,71.99,3.0,318,240,166,127,78,2.3978952727983707,7.5,7.5,4.8
0,1.0986122886681098,64.79,0.0,487,208,166,127,78,5.278114659230517,7.5,7.5,4.7
0,1.0986122886681098,34.55,3.0,416,240,166,127,78,0.6931471805599453,7.5,7.5,5.0
0,1.0986122886681098,50.39,1.0,310,307,166,127,78,3.8066624897703196,7.5,7.5,4.6
0,1.0986122886681098,32.39,3.0,480,264,166,127,78,1.3862943611198906,7.5,7.5,5.0
0,1.3862943611198906,61.19,3.0,480,264,166,127,78,1.3862943611198906,7.5,7.5,5.0
0,1.3862943611198906,77.99,3.0,336,264,166,127,78,1.0986122886681098,7.5,7.5,4.5
