,count_of_size,Color1,Color2,Color3,Color4,Color5,Product_code
663,16,Cloud White , Grey Four , Core Black , Grey Three , Core Black , IE4557
664,22,Wonder Taupe S23 , Solar Red , Wonder Red , Solar Red , Carbon , HQ8915
665,22,Core Black , Core Black ,,,, HP5967
666,22,Coral Fusion S23 , Core Black , Linen Green F22 , Wonder Steel F22 , Core Black , HQ5878
667,16,Core Black , Core Black , Cloud White , Dash Grey , Impact Orange F22 , IG5460
668,17,Magic Grey S22 , Vivid Red , Grey Five , Cloud White , Core Black , IE4569
669,16,Cloud White , Cloud White ,,,, IF5619
670,16,Better Scarlet S23 , Solar Red , Wonder Red , Solar Red , Carbon , GY6056
671,17,Core Black , Grey Four , Core Black , Grey Three , Core Black , FV7827
672,21,Core Black , Core Black , Core Black ,,, IF3250
673,16,Active Teal , Cloud White , Core Black , Cloud White , Grey Three , ID9641
674,16,Mineral Green , Grey Four , Core Black , Grey Three , Core Black , IG5892
675,16,Wonder Silver F23 , Solar Red , Wonder Red , Solar Red , Carbon , IG3196
676,17,Non Dyed , Core Black ,,,, ID9422
677,17,Cloud White , Grey Four , Core Black , Grey Three , Core Black , HQ4444
678,16,Collegiate Gold , Core Black , Wonder Beige , Solar Green , Collegiate Gold , IE9214
679,17,Core Black , Core Black ,,,, GW4652
680,14,Aluminium , Core Black , Core Black , Core Black , Shadow Navy , IE9670
681,24,Cloud White , Core Black , Core Black , Core Black , Shadow Navy , HQ8396
682,21,Shadow Navy , Core Black , Core Black , Core Black , Shadow Navy , ID9639
683,16,Grey Six , Core Black , Cloud White , Dash Grey , Impact Orange F22 , ID1747
684,16,Grey One , Core Black , Core Black , Core Black , Shadow Navy , IE5465
685,14,Orbit Grey , Wonder Blue , Cream White , Orbit Grey , Better Scarlet S23 , HQ1443
686,16,Cloud White , Cloud White , Core Black , Core Black , Cloud White , IG2372
687,17,Core Black , Cloud White , Core Black , Off White , Cloud White , ID9675
688,16,Cloud White , Solar Red , Wonder Red , Solar Red , Carbon , IE8211
689,16,Cloud White , Solar Red ,,,, IF5268
690,16,Cloud White , Wonder Beige , Cloud White , Core Black , Grey Three , IG8337
691,16,Wonder Beige F23 , Core Black , Wonder Beige F23 , Core Black , Wonder Silver F23 , ID0273
692,17,Wonder Beige , Arctic Night F23 , Better Scarlet , Core Black , Cloud White , ID9442
693,16,Beam Orange F22 , Vivid Red , Grey Five , Cloud White , Core Black , GZ9261
694,19,Grey Two , Cloud White , Core Black , Cloud White , Grey Three , ID9600
695,21,Core Black , Core Black , Core Black , Core Black , Shadow Navy , HR0066
696,17,Core Black , Core Black , Wonder Beige F23 , Core Black , Wonder Silver F23 , IF5603
697,18,Core Black , Core Black , Core Black , Non Dyed , Better Scarlet S23 , IF8139
698,16,Preloved Yellow , Core Black , Core Black ,,, ID9676
699,16,Cloud White , Solar Red , Wonder Red , Solar Red , Carbon , IG2374
700,14,Dark Brown , Core Black , Cloud White , Core Black , Cloud White , GZ9256
701,17,Core Black , Wonder Beige , Cloud White , Core Black , Grey Three , ID9584
702,17,Core Black , Wonder Beige ,,,, GZ9260
703,14,Core Black , Bright Blue , Cloud White , Cloud White , Cloud White , IF5274
704,14,Core Black , Grey Four , Core Black , Grey Three , Core Black , IF5282
705,21,Core Black , Core Black ,,,, IF5605
706,17,Oatmeal , Oatmeal , Aluminium , Aluminium ,, IG5877
707,14,Cloud White , Bright Blue , Cloud White , Cloud White , Cloud White , ID9639
708,16,Core Black , Core Black , Cloud White , Core Black , Cloud White , ID1747
709,24,Off White , Bright Blue , Cloud White , Cloud White , Cloud White , IE5465
710,14,Carbon , Carbon ,,,, HQ1443
711,14,Core Black , Core Black , Core Black , Core Black , Shadow Navy , IG2372
712,21,Silver Pebble , Cloud White , Core Black , Chalk White , Grey Three , ID9675
713,25,Grey Three , Grey Four , Core Black , Grey Three , Core Black , IE8211
714,16,Core Black , Cloud White , Core Black , Chalk White , Grey Three , IF5268
715,16,Arctic Night F23 , Arctic Night F23 , Better Scarlet , Core Black , Cloud White , IG8337
716,24,Grey Four , Solar Red , Wonder Red , Solar Red , Carbon , ID0273
717,14,Metal Grey , Grey Four , Core Black , Grey Three , Core Black , ID9442
718,14,Core Black , Cloud White , Core Black , Core Black , Cloud White , GZ9261
719,14,Wonder Taupe , Wonder Steel F22 , Wonder Steel F22 , Core Black , Wonder Taupe , ID9600
720,18,Wonder Blue , Wonder Blue , Cream White , Orbit Grey , Better Scarlet S23 , IF5603
721,18,Carbon , Wonder Beige , Cloud White , Core Black , Grey Three , GY6256
722,18,Cloud White , Cloud White , Core Black ,,, FV7227
723,17,Core Black , Wonder Beige , Cloud White , Core Black , Grey Three , IF3220
724,16,Cloud White , Core Black , Cloud White , Core Black , Cloud White , ID9241
725,18,Wonder Silver , Wonder Silver ,,,, IG5822
726,22,Grey Three , Core Black , Core Black , Core Black , Shadow Navy , IG3126
727,16,Cloud White , Bright Blue , Cloud White , Cloud White , Cloud White , ID9222
728,16,Core Black , Core Black , Wonder Beige F23 , Core Black , Wonder Silver F23 , HQ4244
729,18,Cloud White , Core Black , Cloud White , Core Black , Cloud White , IE9224
730,18,Cloud White , Vivid Red , Grey Five , Cloud White , Core Black , GW4622
731,24,Cloud White , Cloud White , Core Black , Off White , Cloud White , IE9620
